train_size,layers,seed,model,accuracy,loss,seconds,trainable_params,phase_active,phase_trainable,mix_mean,mix_min,mix_max,mix_effective_mean,mix_effective_min,mix_effective_max,phase_abs_mean,phase_abs_max,mix_by_layer,mix_effective_by_layer,phase_abs_by_layer,phase_abs_max_by_layer,gate_mean,gate_min,gate_max,gate_by_layer
4000000,44,31,complex_attention_stacked_floor_pos,0.876056,0.3179476623535156,2428.342,5715632,,,,,,,,,,,,,,,,,,
4000000,44,31,complex_attention_stacked_floor_pos_decohere,0.865368,0.33400304348754883,1663.446,5715632,,,,,,,,,,,,,,,,,,
4000000,44,31,real_attention_stacked,0.870176,0.31581184690856934,449.078,5758766,,,,,,,,,,,,,,,0.061865147203207016,0.04513471946120262,0.08005138486623764,0.049;0.045;0.051;0.051;0.053;0.054;0.053;0.057;0.049;0.054;0.054;0.051;0.062;0.053;0.057;0.057;0.056;0.052;0.059;0.059;0.064;0.069;0.059;0.075;0.063;0.063;0.062;0.070;0.062;0.067;0.080;0.066;0.071;0.066;0.067;0.075;0.072;0.064;0.069;0.071;0.077;0.066;0.078;0.072
4000000,44,37,complex_attention_stacked_floor_pos,0.879568,0.3112603577575684,2421.724,5715632,,,,,,,,,,,,,,,,,,
4000000,44,37,complex_attention_stacked_floor_pos_decohere,0.872028,0.3219928030395508,1658.924,5715632,,,,,,,,,,,,,,,,,,
4000000,44,37,real_attention_stacked,0.868844,0.31927152731323244,447.848,5758766,,,,,,,,,,,,,,,0.06203487515449524,0.044765543192625046,0.0813412219285965,0.048;0.051;0.045;0.056;0.048;0.055;0.048;0.049;0.052;0.052;0.064;0.062;0.056;0.058;0.060;0.056;0.062;0.062;0.061;0.058;0.067;0.061;0.066;0.055;0.065;0.075;0.057;0.067;0.063;0.062;0.065;0.061;0.074;0.079;0.072;0.067;0.072;0.069;0.067;0.081;0.070;0.075;0.065;0.071
4000000,44,43,complex_attention_stacked_floor_pos,0.881724,0.3075293917236328,2420.315,5715632,,,,,,,,,,,,,,,,,,
4000000,44,43,complex_attention_stacked_floor_pos_decohere,0.86492,0.3348471065979004,1658.512,5715632,,,,,,,,,,,,,,,,,,
4000000,44,43,real_attention_stacked,0.8679,0.3221912897949219,447.737,5758766,,,,,,,,,,,,,,,0.06132391467690468,0.04558686912059784,0.07803051918745041,0.050;0.052;0.046;0.054;0.052;0.059;0.048;0.063;0.060;0.047;0.052;0.056;0.061;0.062;0.059;0.059;0.057;0.058;0.054;0.059;0.057;0.066;0.063;0.066;0.063;0.066;0.066;0.063;0.064;0.072;0.065;0.061;0.063;0.058;0.073;0.063;0.073;0.068;0.078;0.067;0.070;0.063;0.076;0.065
4000000,56,31,complex_attention_stacked_floor_pos,0.877288,0.31560659771728516,3080.402,5721788,,,,,,,,,,,,,,,,,,
4000000,56,31,complex_attention_stacked_floor_pos_decohere,0.867364,0.32994940229797365,2110.215,5721788,,,,,,,,,,,,,,,,,,
4000000,56,31,real_attention_stacked,0.8709,0.3148920817565918,569.323,6548282,,,,,,,,,,,,,,,0.05729271098971367,0.042287856340408325,0.07522714138031006,0.043;0.045;0.042;0.049;0.043;0.048;0.047;0.049;0.046;0.055;0.046;0.046;0.051;0.049;0.047;0.051;0.053;0.048;0.042;0.053;0.052;0.061;0.058;0.053;0.053;0.059;0.054;0.050;0.055;0.061;0.064;0.059;0.061;0.055;0.058;0.070;0.064;0.069;0.067;0.063;0.068;0.060;0.064;0.072;0.058;0.067;0.057;0.062;0.069;0.073;0.064;0.075;0.075;0.065;0.067;0.074
4000000,56,37,complex_attention_stacked_floor_pos,0.881868,0.30502256178283693,3080.561,5721788,,,,,,,,,,,,,,,,,,
4000000,56,37,complex_attention_stacked_floor_pos_decohere,0.864532,0.3337718918609619,2112.269,5721788,,,,,,,,,,,,,,,,,,
4000000,56,37,real_attention_stacked,0.866844,0.3255849055175781,569.149,6548282,,,,,,,,,,,,,,,0.05690144747495651,0.03970003128051758,0.07847550511360168,0.040;0.043;0.042;0.046;0.052;0.047;0.052;0.048;0.049;0.048;0.055;0.048;0.051;0.052;0.056;0.048;0.053;0.050;0.053;0.060;0.049;0.053;0.057;0.054;0.055;0.056;0.055;0.056;0.054;0.055;0.061;0.056;0.064;0.067;0.062;0.060;0.062;0.063;0.065;0.059;0.055;0.065;0.058;0.071;0.066;0.066;0.064;0.056;0.061;0.061;0.067;0.065;0.061;0.074;0.078;0.066
4000000,56,43,complex_attention_stacked_floor_pos,0.880264,0.3093853694000244,3082.428,5721788,,,,,,,,,,,,,,,,,,
4000000,56,43,complex_attention_stacked_floor_pos_decohere,0.861908,0.33978906117248536,2112.402,5721788,,,,,,,,,,,,,,,,,,
4000000,56,43,real_attention_stacked,0.867444,0.3234293429260254,568.901,6548282,,,,,,,,,,,,,,,0.05776583030819893,0.04229871183633804,0.08120672404766083,0.042;0.043;0.047;0.043;0.043;0.049;0.046;0.049;0.051;0.046;0.050;0.051;0.054;0.055;0.055;0.056;0.053;0.051;0.053;0.056;0.055;0.050;0.061;0.056;0.054;0.062;0.056;0.061;0.053;0.057;0.059;0.057;0.057;0.062;0.063;0.054;0.060;0.058;0.063;0.055;0.077;0.058;0.063;0.064;0.074;0.066;0.062;0.068;0.062;0.067;0.079;0.081;0.060;0.071;0.068;0.069
4000000,64,31,complex_attention_stacked_floor_pos,0.883692,0.30153966549682615,3522.771,5725892,,,,,,,,,,,,,,,,,,
4000000,64,31,complex_attention_stacked_floor_pos_decohere,0.875616,0.3145209584197998,2413.482,5725892,,,,,,,,,,,,,,,,,,
4000000,64,31,real_attention_stacked,0.869496,0.31950232049560545,649.864,7074626,,,,,,,,,,,,,,,0.05423814803361893,0.03776492178440094,0.07496269792318344,0.039;0.040;0.044;0.040;0.040;0.039;0.038;0.048;0.046;0.042;0.044;0.044;0.042;0.056;0.049;0.043;0.046;0.049;0.054;0.047;0.047;0.044;0.051;0.052;0.051;0.052;0.043;0.046;0.055;0.054;0.060;0.051;0.063;0.059;0.047;0.059;0.057;0.057;0.051;0.059;0.058;0.058;0.063;0.057;0.052;0.061;0.067;0.062;0.075;0.064;0.057;0.060;0.058;0.062;0.071;0.066;0.066;0.063;0.068;0.069;0.072;0.057;0.063;0.074
4000000,64,37,complex_attention_stacked_floor_pos,0.880456,0.3090533816833496,3521.288,5725892,,,,,,,,,,,,,,,,,,
4000000,64,37,complex_attention_stacked_floor_pos_decohere,0.867912,0.3291786660461426,2413.502,5725892,,,,,,,,,,,,,,,,,,
4000000,64,37,real_attention_stacked,0.86786,0.32037006004333496,649.544,7074626,,,,,,,,,,,,,,,0.05502891540527344,0.03754965215921402,0.07886500656604767,0.038;0.041;0.043;0.042;0.043;0.044;0.046;0.042;0.045;0.043;0.045;0.045;0.044;0.044;0.047;0.041;0.050;0.042;0.047;0.058;0.052;0.051;0.051;0.051;0.056;0.048;0.055;0.059;0.051;0.055;0.055;0.057;0.056;0.048;0.056;0.058;0.055;0.062;0.063;0.059;0.053;0.053;0.056;0.062;0.059;0.050;0.062;0.076;0.054;0.059;0.061;0.067;0.057;0.077;0.073;0.072;0.060;0.079;0.069;0.069;0.069;0.061;0.063;0.072
4000000,64,43,complex_attention_stacked_floor_pos,0.88178,0.30718530474853517,3522.398,5725892,,,,,,,,,,,,,,,,,,
4000000,64,43,complex_attention_stacked_floor_pos_decohere,0.866888,0.32922629544067383,2413.851,5725892,,,,,,,,,,,,,,,,,,
4000000,64,43,real_attention_stacked,0.866724,0.3243198136444092,649.347,7074626,,,,,,,,,,,,,,,0.05407726764678955,0.03800186142325401,0.07565821707248688,0.041;0.043;0.041;0.042;0.044;0.038;0.039;0.039;0.039;0.046;0.039;0.046;0.040;0.048;0.045;0.043;0.039;0.045;0.044;0.048;0.051;0.048;0.047;0.048;0.052;0.053;0.047;0.049;0.051;0.056;0.049;0.052;0.056;0.056;0.072;0.060;0.060;0.052;0.056;0.066;0.061;0.053;0.057;0.054;0.056;0.063;0.066;0.064;0.055;0.065;0.062;0.059;0.064;0.074;0.064;0.064;0.069;0.070;0.070;0.063;0.072;0.076;0.071;0.059
